strain.id	host
ERR2779101_1	Other
ERR2779102_1	Hospitalised patient
ERR2779103_1	Hospitalised patient
ERR2779104_1	Hospitalised patient
ERR2779105_1	Other
ERR2779106_1	Hospitalised patient
ERR2779107_1	Other
ERR2779108_1	Other
ERR2779109_1	Other
ERR2779110_1	Hospitalised patient
ERR2779111_1	Hospitalised patient
ERR2779112_1	Hospitalised patient
ERR2779113_1	Hospitalised patient
ERR2779114_1	Hospitalised patient
ERR2779115_1	Other
ERR2779116_1	Hospitalised patient
ERR2779117_1	Hospitalised patient
ERR2779118_1	Hospitalised patient
ERR2779119_1	Other
ERR2779120_1	Hospitalised patient
ERR2779121_1	Hospitalised patient
ERR2779122_1	Hospitalised patient
ERR2779123_1	Hospitalised patient
ERR2779124_1	Hospitalised patient
ERR2779125_1	Hospitalised patient
ERR2779126_1	Other
ERR2779127_1	Hospitalised patient
ERR2779128_1	Other
ERR2779129_1	Hospitalised patient
ERR2779130_1	Hospitalised patient
ERR2779131_1	Hospitalised patient
ERR2779132_1	Hospitalised patient
ERR2779133_1	Non-hospitalised person
ERR2779134_1	Other
ERR2779135_1	Hospitalised patient
ERR2779136_1	Hospitalised patient
ERR2779137_1	Other
ERR2779138_1	Hospitalised patient
ERR2779139_1	Other
ERR2779140_1	Other
ERR2779141_1	Hospitalised patient
ERR2779142_1	Hospitalised patient
ERR2779143_1	Other
ERR2779144_1	Other
ERR2779145_1	Non-hospitalised person
ERR2779146_1	Hospitalised patient
ERR2779147_1	Non-hospitalised person
ERR2779148_1	Hospitalised patient
ERR2779149_1	Hospitalised patient
ERR2779150_1	Hospitalised patient
ERR2779151_1	Hospitalised patient
ERR2779152_1	Hospitalised patient
ERR2779153_1	Hospitalised patient
ERR2779154_1	Other
ERR2779155_1	Hospitalised patient
ERR2779156_1	Hospitalised patient
ERR2779157_1	Hospitalised patient
ERR2779158_1	Hospitalised patient
ERR2779159_1	Hospitalised patient
ERR2779160_1	Hospitalised patient
ERR2779161_1	Other
ERR2779162_1	Hospitalised patient
ERR2779163_1	Other
ERR2779164_1	Hospitalised patient
ERR2779165_1	Other
ERR2779166_1	Hospitalised patient
ERR2779167_1	Hospitalised patient
ERR2779168_1	Hospitalised patient
ERR2779169_1	Other
ERR2779170_1	Hospitalised patient
ERR2779171_1	Hospitalised patient
ERR2779172_1	Other
ERR2779173_1	Hospitalised patient
ERR2779174_1	Hospitalised patient
ERR2779175_1	Hospitalised patient
ERR2779176_1	Hospitalised patient
ERR2779177_1	Non-hospitalised person
ERR2779178_1	Other
ERR2779179_1	Other
ERR2779180_1	Other
ERR2779181_1	Hospitalised patient
ERR2779182_1	Non-hospitalised person
ERR2779183_1	Hospitalised patient
ERR2779184_1	Non-hospitalised person
ERR2779185_1	Hospitalised patient
ERR2779186_1	Other
ERR2779187_1	Hospitalised patient
ERR2779188_1	Hospitalised patient
ERR2779189_1	Non-hospitalised person
ERR2779190_1	Hospitalised patient
ERR2779191_1	Hospitalised patient
ERR2779192_1	Other
ERR2779193_1	Non-hospitalised person
ERR2779194_1	Hospitalised patient
ERR2779195_1	Hospitalised patient
ERR2779196_1	Other
ERR2779197_1	Hospitalised patient
ERR2779198_1	Hospitalised patient
ERR2779199_1	Other
ERR2779200_1	Hospitalised patient
ERR2779201_1	Hospitalised patient
ERR2779202_1	Hospitalised patient
ERR2779203_1	Hospitalised patient
ERR2779204_1	Other
ERR2779205_1	Hospitalised patient
ERR2779206_1	Other
ERR2779207_1	Hospitalised patient
ERR2779208_1	Hospitalised patient
ERR2779209_1	Hospitalised patient
ERR2779210_1	Non-hospitalised person
ERR2779211_1	Hospitalised patient
ERR2779212_1	Hospitalised patient
ERR2779213_1	Other
ERR2779214_1	Hospitalised patient
ERR2779215_1	Hospitalised patient
ERR2779216_1	Hospitalised patient
ERR2779217_1	Hospitalised patient
ERR2779218_1	Hospitalised patient
ERR2779219_1	Hospitalised patient
ERR2779220_1	Hospitalised patient
ERR2779221_1	Hospitalised patient
ERR2779222_1	Hospitalised patient
ERR2779223_1	Hospitalised patient
ERR2779224_1	Hospitalised patient
ERR2779225_1	Other
ERR2779226_1	Hospitalised patient
ERR2779227_1	Hospitalised patient
ERR2779228_1	Other
ERR2779229_1	Hospitalised patient
ERR2779230_1	Hospitalised patient
ERR2779231_1	Other
ERR2779232_1	Other
ERR2779233_1	Hospitalised patient
ERR2779234_1	Hospitalised patient
ERR2779235_1	Hospitalised patient
ERR2779236_1	Hospitalised patient
ERR2779237_1	Hospitalised patient
ERR2779238_1	Non-hospitalised person
ERR2779239_1	Hospitalised patient
ERR2779240_1	Other
ERR2779241_1	Hospitalised patient
ERR2779242_1	Other
ERR2779243_1	Hospitalised patient
ERR2779244_1	Other
ERR2779245_1	Other
ERR2779246_1	Other
ERR2779247_1	Other
ERR2779248_1	Hospitalised patient
ERR2779249_1	Hospitalised patient
ERR2779250_1	Other
ERR2779251_1	Hospitalised patient
ERR2779252_1	Hospitalised patient
ERR2779253_1	Hospitalised patient
ERR2779254_1	Other
ERR2779255_1	Hospitalised patient
ERR2779256_1	Other
ERR2779257_1	Hospitalised patient
ERR2779258_1	Hospitalised patient
ERR2779259_1	Other
ERR2779260_1	Hospitalised patient
ERR2779261_1	Non-hospitalised person
ERR2779262_1	Hospitalised patient
ERR2779263_1	Other
ERR2779264_1	Non-hospitalised person
ERR2779265_1	Other
ERR2779266_1	Hospitalised patient
ERR2779267_1	Hospitalised patient
ERR2779268_1	Hospitalised patient
ERR2779269_1	Other
ERR2779270_1	Hospitalised patient
ERR2779271_1	Hospitalised patient
ERR2779272_1	Other
ERR2779273_1	Other
ERR2779274_1	Hospitalised patient
ERR2779275_1	Hospitalised patient
ERR2779276_1	Hospitalised patient
ERR2779277_1	Hospitalised patient
ERR2779278_1	Hospitalised patient
ERR2779279_1	Non-hospitalised person
ERR2779280_1	Other
ERR2779281_1	Hospitalised patient
ERR2779282_1	Hospitalised patient
ERR2779283_1	Hospitalised patient
ERR2779284_1	Other
ERR2779285_1	Hospitalised patient
ERR2779286_1	Hospitalised patient
ERR2779287_1	Other
ERR2779288_1	Non-hospitalised person
ERR2779289_1	Other
ERR2779290_1	Hospitalised patient
ERR2779291_1	Non-hospitalised person
ERR2779292_1	Other
ERR2779293_1	Other
ERR2779294_1	Hospitalised patient
ERR2779295_1	Other
ERR2779296_1	Hospitalised patient
ERR2779297_1	Hospitalised patient
ERR2779298_1	Other
ERR2779299_1	Hospitalised patient
ERR2779300_1	Hospitalised patient
ERR2779301_1	Hospitalised patient
ERR2779302_1	Non-hospitalised person
ERR2779303_1	Other
ERR2779304_1	Hospitalised patient
ERR2779305_1	Other
ERR2779306_1	Hospitalised patient
ERR2779307_1	Hospitalised patient
ERR2779308_1	Hospitalised patient
ERR2779309_1	Hospitalised patient
ERR2779310_1	Hospitalised patient
ERR2779311_1	Hospitalised patient
ERR2779312_1	Other
ERR2779313_1	Non-hospitalised person
ERR2779314_1	Other
ERR2779315_1	Hospitalised patient
ERR2779316_1	Hospitalised patient
ERR2779317_1	Hospitalised patient
ERR2779318_1	Other
ERR2779319_1	Other
ERR2779320_1	Other
ERR2779321_1	Hospitalised patient
ERR2779322_1	Hospitalised patient
ERR2779323_1	Non-hospitalised person
ERR2779324_1	Other
ERR2779325_1	Hospitalised patient
ERR2779326_1	Hospitalised patient
ERR2779327_1	Other
ERR2779328_1	Hospitalised patient
ERR2779329_1	Other
ERR2779330_1	Other
ERR2779331_1	Hospitalised patient
ERR2779332_1	Hospitalised patient
ERR2779333_1	Other
ERR2779334_1	Other
ERR2779335_1	Hospitalised patient
ERR2779336_1	Hospitalised patient
ERR2779337_1	Non-hospitalised person
ERR2779338_1	Hospitalised patient
ERR2779339_1	Hospitalised patient
ERR2779340_1	Other
ERR2779341_1	Hospitalised patient
ERR2779342_1	Other
ERR2779343_1	Hospitalised patient
ERR2779344_1	Hospitalised patient
ERR2779345_1	Hospitalised patient
ERR2779346_1	Non-hospitalised person
ERR2779347_1	Hospitalised patient
ERR2779348_1	Hospitalised patient
ERR2779349_1	Hospitalised patient
ERR2779350_1	Other
ERR2779351_1	Other
ERR2779352_1	Hospitalised patient
ERR2779353_1	Hospitalised patient
ERR2779354_1	Non-hospitalised person
ERR2779355_1	Hospitalised patient
ERR2779356_1	Hospitalised patient
ERR2779357_1	Hospitalised patient
ERR2779358_1	Hospitalised patient
ERR2779359_1	Hospitalised patient
ERR2779360_1	Other
ERR2779361_1	Hospitalised patient
ERR2779362_1	Hospitalised patient
ERR2779363_1	Hospitalised patient
ERR2779364_1	Hospitalised patient
ERR2779365_1	Hospitalised patient
ERR2779366_1	Other
ERR2779367_1	Hospitalised patient
ERR2779368_1	Other
ERR2779369_1	Hospitalised patient
ERR2779370_1	Other
ERR2779371_1	Hospitalised patient
ERR2779372_1	Hospitalised patient
ERR2779373_1	Hospitalised patient
ERR2779374_1	Hospitalised patient
ERR2779375_1	Other
ERR2779376_1	Hospitalised patient
ERR2779377_1	Other
ERR2779378_1	Other
ERR2779379_1	Hospitalised patient
ERR2779380_1	Hospitalised patient
ERR2779381_1	Hospitalised patient
ERR2779382_1	Non-hospitalised person
ERR2779383_1	Hospitalised patient
ERR2779384_1	Hospitalised patient
ERR2779385_1	Hospitalised patient
ERR2779386_1	Hospitalised patient
ERR2779387_1	Hospitalised patient
ERR2779388_1	Other
ERR2779389_1	Hospitalised patient
ERR2779390_1	Other
ERR2779391_1	Other
ERR2779392_1	Other
ERR2779393_1	Hospitalised patient
ERR2779394_1	Non-hospitalised person
ERR2779395_1	Hospitalised patient
ERR2779396_1	Hospitalised patient
ERR2779397_1	Hospitalised patient
ERR2779398_1	Other
ERR2779399_1	Hospitalised patient
ERR2779400_1	Hospitalised patient
ERR2779401_1	Hospitalised patient
ERR2779402_1	Other
ERR2779403_1	Hospitalised patient
ERR2779404_1	Hospitalised patient
ERR2779405_1	Other
ERR2779406_1	Hospitalised patient
ERR2779407_1	Hospitalised patient
ERR2779408_1	Other
ERR2779409_1	Hospitalised patient
ERR2779410_1	Non-hospitalised person
ERR2779411_1	Hospitalised patient
ERR2779412_1	Hospitalised patient
ERR2779413_1	Other
ERR2779414_1	Other
ERR2779415_1	Hospitalised patient
ERR2779416_1	Hospitalised patient
ERR2779417_1	Hospitalised patient
ERR2779418_1	Hospitalised patient
ERR2779419_1	Hospitalised patient
ERR2779420_1	Other
ERR2779421_1	Non-hospitalised person
ERR2779422_1	Other
ERR2779423_1	Hospitalised patient
ERR2779424_1	Hospitalised patient
ERR2779425_1	Hospitalised patient
ERR2779426_1	Other
ERR2779427_1	Non-hospitalised person
ERR2779428_1	Hospitalised patient
ERR2779429_1	Hospitalised patient
ERR2779430_1	Hospitalised patient
ERR2779431_1	Hospitalised patient
ERR2779432_1	Hospitalised patient
ERR2779433_1	Hospitalised patient
ERR2779434_1	Hospitalised patient
ERR2779435_1	Hospitalised patient
ERR2779436_1	Other
ERR2779437_1	Hospitalised patient
ERR2779438_1	Other
ERR2779439_1	Hospitalised patient
ERR2779440_1	Other
ERR2779441_1	Hospitalised patient
ERR2779442_1	Hospitalised patient
ERR2779443_1	Non-hospitalised person
ERR2779444_1	Other
ERR2779445_1	Hospitalised patient
ERR2779446_1	Other
ERR2779447_1	Hospitalised patient
ERR2779448_1	Hospitalised patient
ERR2779449_1	Hospitalised patient
ERR2779450_1	Hospitalised patient
ERR2779451_1	Hospitalised patient
ERR2779452_1	Hospitalised patient
ERR2779453_1	Hospitalised patient
ERR2779454_1	Other
ERR2779455_1	Hospitalised patient
ERR2779456_1	Hospitalised patient
ERR2779457_1	Hospitalised patient
ERR2779458_1	Hospitalised patient
ERR2779459_1	Hospitalised patient
ERR2779460_1	Hospitalised patient
ERR2779461_1	Hospitalised patient
ERR2779462_1	Hospitalised patient
ERR2779463_1	Other
ERR2779464_1	Hospitalised patient
ERR2779465_1	Hospitalised patient
ERR2779466_1	Hospitalised patient
ERR2779467_1	Hospitalised patient
ERR2779468_1	Other
ERR2779469_1	Hospitalised patient
ERR2779470_1	Hospitalised patient
ERR2779471_1	Hospitalised patient
ERR2779472_1	Other
ERR2779473_1	Hospitalised patient
ERR2779474_1	Non-hospitalised person
ERR2779475_1	Other
ERR2779476_1	Hospitalised patient
ERR2779477_1	Non-hospitalised person
ERR2779478_1	Hospitalised patient
ERR2779479_1	Other
ERR2779480_1	Hospitalised patient
ERR2779481_1	Hospitalised patient
ERR2779482_1	Hospitalised patient
ERR2779483_1	Other
ERR2779484_1	Hospitalised patient
ERR2779485_1	Hospitalised patient
ERR2779486_1	Hospitalised patient
ERR2779487_1	Hospitalised patient
ERR2779488_1	Other
ERR2779489_1	Hospitalised patient
ERR2779490_1	Hospitalised patient
ERR2779491_1	Hospitalised patient
ERR2779492_1	Hospitalised patient
ERR2779493_1	Other
ERR2779494_1	Hospitalised patient
ERR2779495_1	Other
ERR2779496_1	Hospitalised patient
ERR2779497_1	Hospitalised patient
ERR2779498_1	Hospitalised patient
ERR2779499_1	Other
ERR2779500_1	Other
ERR2779501_1	Hospitalised patient
ERR2779502_1	Hospitalised patient
ERR2779503_1	Non-hospitalised person
ERR2779504_1	Hospitalised patient
ERR2779505_1	Hospitalised patient
ERR2779506_1	Hospitalised patient
ERR2779507_1	Other
ERR2779508_1	Hospitalised patient
ERR2779509_1	Hospitalised patient
ERR2779510_1	Hospitalised patient
ERR2779511_1	Other
ERR2779512_1	Hospitalised patient
ERR2779513_1	Hospitalised patient
ERR2779514_1	Hospitalised patient
ERR2779515_1	Other
ERR2779516_1	Other
ERR2779517_1	Hospitalised patient
ERR2779518_1	Hospitalised patient
ERR2779519_1	Non-hospitalised person
ERR2779520_1	Hospitalised patient
ERR2779521_1	Other
ERR2779522_1	Other
ERR2779523_1	Other
ERR2779524_1	Non-hospitalised person
ERR2779525_1	Hospitalised patient
ERR2779526_1	Hospitalised patient
ERR2779527_1	Hospitalised patient
ERR2779528_1	Other
ERR2779529_1	Non-hospitalised person
ERR2779530_1	Hospitalised patient
ERR2779531_1	Non-hospitalised person
ERR2779532_1	Hospitalised patient
ERR2779533_1	Other
ERR2779534_1	Hospitalised patient
ERR2779535_1	Hospitalised patient
ERR2779536_1	Other
ERR2779537_1	Hospitalised patient
ERR2779538_1	Hospitalised patient
ERR2779539_1	Hospitalised patient
ERR2779540_1	Hospitalised patient
ERR2779541_1	Hospitalised patient
ERR2779542_1	Hospitalised patient
ERR2779543_1	Hospitalised patient
ERR2779544_1	Hospitalised patient
ERR2779545_1	Hospitalised patient
ERR2779546_1	Hospitalised patient
ERR2779547_1	Hospitalised patient
ERR2779548_1	Hospitalised patient
ERR2779549_1	Hospitalised patient
ERR2779550_1	Other
ERR2779551_1	Hospitalised patient
ERR2779552_1	Hospitalised patient
ERR2779553_1	Hospitalised patient
ERR2779554_1	Hospitalised patient
ERR2779555_1	Hospitalised patient
ERR2779556_1	Hospitalised patient
ERR2779557_1	Other
ERR2779558_1	Hospitalised patient
ERR2779559_1	Other
ERR2779560_1	Other
ERR2779561_1	Hospitalised patient
ERR2779562_1	Hospitalised patient
ERR2779563_1	Other
ERR2779564_1	Hospitalised patient
ERR2779565_1	Hospitalised patient
ERR2779566_1	Other
ERR2779567_1	Hospitalised patient
ERR2779568_1	Hospitalised patient
ERR2779569_1	Hospitalised patient
ERR2779570_1	Other
ERR2779571_1	Hospitalised patient
ERR2779572_1	Hospitalised patient
ERR2779573_1	Hospitalised patient
ERR2779574_1	Other
ERR2779575_1	Other
ERR2779576_1	Hospitalised patient
ERR2779577_1	Hospitalised patient
ERR2779578_1	Hospitalised patient
ERR2779579_1	Hospitalised patient
ERR2779580_1	Hospitalised patient
ERR2779581_1	Hospitalised patient
ERR2779582_1	Non-hospitalised person
ERR2779583_1	Hospitalised patient
ERR2779584_1	Other
ERR2779585_1	Other
ERR2779586_1	Hospitalised patient
ERR2779587_1	Other
ERR2779588_1	Hospitalised patient
ERR2779589_1	Hospitalised patient
ERR2779590_1	Hospitalised patient
ERR2779591_1	Hospitalised patient
ERR2779592_1	Hospitalised patient
ERR2779593_1	Other
ERR2779594_1	Other
ERR2779595_1	Hospitalised patient
ERR2779596_1	Hospitalised patient
ERR2779597_1	Hospitalised patient
ERR2779598_1	Hospitalised patient
ERR2779599_1	Hospitalised patient
ERR2779600_1	Other
ERR2779601_1	Hospitalised patient
ERR2779602_1	Other
ERR2779603_1	Hospitalised patient
ERR2779604_1	Hospitalised patient
ERR2779605_1	Other
ERR2779606_1	Hospitalised patient
ERR2779607_1	Hospitalised patient
ERR2779608_1	Hospitalised patient
ERR2779609_1	Hospitalised patient
ERR2779610_1	Hospitalised patient
ERR2779611_1	Hospitalised patient
ERR2779612_1	Hospitalised patient
ERR2779613_1	Hospitalised patient
ERR2779614_1	Non-hospitalised person
ERR2779615_1	Hospitalised patient
ERR2779616_1	Hospitalised patient
ERR2779617_1	Hospitalised patient
ERR2779618_1	Hospitalised patient
ERR2779619_1	Hospitalised patient
ERR2779620_1	Other
ERR2779621_1	Hospitalised patient
ERR2779622_1	Non-hospitalised person
ERR2779623_1	Hospitalised patient
ERR2779624_1	Non-hospitalised person
ERR2779625_1	Hospitalised patient
ERR2779626_1	Hospitalised patient
ERR2779627_1	Hospitalised patient
ERR2779628_1	Hospitalised patient
ERR2779629_1	Hospitalised patient
ERR2779630_1	Other
ERR2779631_1	Non-hospitalised person
ERR2779632_1	Hospitalised patient
ERR2779633_1	Other
ERR2779634_1	Hospitalised patient
ERR2779635_1	Hospitalised patient
ERR2779636_1	Other
ERR2779637_1	Hospitalised patient
ERR2779638_1	Other
ERR2779639_1	Hospitalised patient
ERR2779640_1	Hospitalised patient
ERR2779641_1	Other
ERR2779642_1	Hospitalised patient
ERR2779643_1	Hospitalised patient
ERR2779644_1	Other
ERR2779645_1	Hospitalised patient
ERR2779646_1	Hospitalised patient
ERR2779647_1	Hospitalised patient
ERR2779648_1	Hospitalised patient
ERR2779649_1	Other
ERR2779650_1	Other
ERR2779651_1	Hospitalised patient
ERR2779652_1	Hospitalised patient
ERR2779653_1	Hospitalised patient
ERR2779654_1	Hospitalised patient
ERR2779655_1	Hospitalised patient
ERR2779656_1	Other
ERR2779657_1	Hospitalised patient
ERR2779658_1	Hospitalised patient
ERR2779659_1	Hospitalised patient
ERR2779660_1	Hospitalised patient
ERR2779661_1	Other
ERR2779662_1	Hospitalised patient
ERR2779663_1	Hospitalised patient
ERR2779664_1	Hospitalised patient
ERR2779665_1	Hospitalised patient
ERR2779666_1	Hospitalised patient
ERR2779667_1	Hospitalised patient
ERR2779668_1	Hospitalised patient
ERR2779669_1	Hospitalised patient
ERR2779670_1	Non-hospitalised person
ERR2779671_1	Other
ERR2779672_1	Hospitalised patient
ERR2779673_1	Other
ERR2779674_1	Other
ERR2779675_1	Other
ERR2779676_1	Other
ERR2779677_1	Hospitalised patient
ERR2779678_1	Hospitalised patient
ERR2779679_1	Hospitalised patient
ERR2779680_1	Hospitalised patient
ERR2779681_1	Hospitalised patient
ERR2779682_1	Hospitalised patient
ERR2779683_1	Hospitalised patient
ERR2779684_1	Other
ERR2779685_1	Hospitalised patient
ERR2779686_1	Hospitalised patient
ERR2779687_1	Hospitalised patient
ERR2779688_1	Hospitalised patient
ERR2779689_1	Hospitalised patient
ERR2779690_1	Hospitalised patient
ERR2779691_1	Other
ERR2779692_1	Hospitalised patient
ERR2779693_1	Hospitalised patient
ERR2779694_1	Other
ERR2779695_1	Hospitalised patient
ERR2779696_1	Hospitalised patient
ERR2779697_1	Hospitalised patient
ERR2779698_1	Non-hospitalised person
ERR2779699_1	Other
ERR2779700_1	Hospitalised patient
ERR2779701_1	Hospitalised patient
ERR2779702_1	Hospitalised patient
ERR2779703_1	Hospitalised patient
ERR2779704_1	Other
ERR2779705_1	Other
ERR2779706_1	Hospitalised patient
ERR2779707_1	Hospitalised patient
ERR2779708_1	Other
ERR2779709_1	Other
ERR2779710_1	Hospitalised patient
ERR2779711_1	Hospitalised patient
ERR2779712_1	Hospitalised patient
ERR2779713_1	Hospitalised patient
ERR2779714_1	Other
ERR2779715_1	Other
ERR2779716_1	Hospitalised patient
ERR2779717_1	Hospitalised patient
ERR2779718_1	Hospitalised patient
ERR2779719_1	Hospitalised patient
ERR2779720_1	Hospitalised patient
ERR2779721_1	Hospitalised patient
ERR2779722_1	Hospitalised patient
ERR2779723_1	Hospitalised patient
ERR2779724_1	Hospitalised patient
ERR2779725_1	Hospitalised patient
ERR2779726_1	Hospitalised patient
ERR2779727_1	Other
ERR2779728_1	Hospitalised patient
ERR2779729_1	Other
ERR2779730_1	Hospitalised patient
ERR2779731_1	Hospitalised patient
ERR2779732_1	Other
ERR2779733_1	Hospitalised patient
ERR2779734_1	Hospitalised patient
ERR2779735_1	Other
ERR2779736_1	Hospitalised patient
ERR2779737_1	Hospitalised patient
ERR2779738_1	Hospitalised patient
ERR2779739_1	Hospitalised patient
ERR2779740_1	Hospitalised patient
ERR2779741_1	Hospitalised patient
ERR2779742_1	Hospitalised patient
ERR2779743_1	Hospitalised patient
ERR2779744_1	Hospitalised patient
ERR2779745_1	Hospitalised patient
ERR2779746_1	Hospitalised patient
ERR2779747_1	Hospitalised patient
ERR2779748_1	Other
ERR2779749_1	Hospitalised patient
ERR2779750_1	Hospitalised patient
ERR2779751_1	Hospitalised patient
ERR2779752_1	Hospitalised patient
ERR2779753_1	Hospitalised patient
ERR2779754_1	Hospitalised patient
ERR2779755_1	Hospitalised patient
ERR2779756_1	Hospitalised patient
ERR2779757_1	Other
ERR2779758_1	Hospitalised patient
ERR2779759_1	Non-hospitalised person
ERR2779760_1	Hospitalised patient
ERR2779761_1	Other
ERR2779762_1	Hospitalised patient
ERR2779763_1	Hospitalised patient
ERR2779764_1	Non-hospitalised person
ERR2779765_1	Hospitalised patient
ERR2779766_1	Other
ERR2779767_1	Hospitalised patient
ERR2779768_1	Other
ERR2779769_1	Hospitalised patient
ERR2779770_1	Hospitalised patient
ERR2779771_1	Other
ERR2779772_1	Hospitalised patient
ERR2779773_1	Hospitalised patient
ERR2779774_1	Hospitalised patient
ERR2779775_1	Hospitalised patient
ERR2779776_1	Hospitalised patient
ERR2779777_1	Hospitalised patient
ERR2779778_1	Hospitalised patient
ERR2779779_1	Other
ERR2779780_1	Hospitalised patient
ERR2779781_1	Other
ERR2779782_1	Hospitalised patient
ERR2779783_1	Hospitalised patient
ERR2779784_1	Other
ERR2779785_1	Other
ERR2779786_1	Hospitalised patient
ERR2779787_1	Other
ERR2779788_1	Other
ERR2779789_1	Hospitalised patient
ERR2779790_1	Hospitalised patient
ERR2779791_1	Hospitalised patient
ERR2779792_1	Other
ERR2779793_1	Hospitalised patient
ERR2779794_1	Other
ERR2779795_1	Hospitalised patient
ERR2779796_1	Other
ERR2779797_1	Hospitalised patient
ERR2779798_1	Hospitalised patient
ERR2779799_1	Hospitalised patient
ERR2779800_1	Hospitalised patient
ERR2779801_1	Hospitalised patient
ERR2779802_1	Hospitalised patient
ERR2779803_1	Other
ERR2779804_1	Hospitalised patient
ERR2779805_1	Hospitalised patient
ERR2779806_1	Hospitalised patient
ERR2779807_1	Other
ERR2779808_1	Hospitalised patient
ERR2779809_1	Hospitalised patient
ERR2779810_1	Hospitalised patient
ERR2779811_1	Non-hospitalised person
ERR2779812_1	Hospitalised patient
ERR2779813_1	Other
ERR2779814_1	Other
ERR2779815_1	Hospitalised patient
ERR2779816_1	Hospitalised patient
ERR2779817_1	Hospitalised patient
ERR2779818_1	Hospitalised patient
ERR2779819_1	Non-hospitalised person
ERR2779820_1	Other
ERR2779821_1	Hospitalised patient
ERR2779822_1	Hospitalised patient
ERR2779823_1	Hospitalised patient
ERR2779824_1	Other
ERR2779825_1	Hospitalised patient
ERR2779826_1	Hospitalised patient
ERR2779827_1	Hospitalised patient
ERR2779828_1	Hospitalised patient
ERR2779829_1	Hospitalised patient
ERR2779830_1	Hospitalised patient
ERR2779831_1	Other
ERR2779832_1	Hospitalised patient
ERR2779833_1	Other
ERR2779834_1	Non-hospitalised person
ERR2779835_1	Hospitalised patient
ERR2779836_1	Non-hospitalised person
ERR2779837_1	Hospitalised patient
ERR2779838_1	Hospitalised patient
ERR2779839_1	Other
ERR2779840_1	Hospitalised patient
ERR2779841_1	Human
ERR2779842_1	Other
ERR2779843_1	Hospitalised patient
ERR2779844_1	Hospitalised patient
ERR2779845_1	Hospitalised patient
ERR2779846_1	Hospitalised patient
ERR2779847_1	Hospitalised patient
ERR2779848_1	Hospitalised patient
ERR2779849_1	Human
ERR2779850_1	Other
ERR2779851_1	Other
ERR2779852_1	Backcap
ERR2779853_1	Hospitalised patient
ERR2779854_1	Other
ERR2779855_1	Hospitalised patient
ERR2779856_1	Hospitalised patient
ERR2779857_1	Hospitalised patient
ERR2779858_1	Hospitalised patient
ERR2779859_1	Other
ERR2779860_1	Hospitalised patient
ERR2779861_1	Other
ERR2779862_1	Other
ERR2779863_1	Hospitalised patient
ERR2779864_1	Hospitalised patient
ERR2779865_1	Hospitalised patient
ERR2779866_1	Hospitalised patient
ERR2779867_1	Human
ERR2779868_1	Other
ERR2779869_1	Hospitalised patient
ERR2779870_1	Hospitalised patient
ERR2779871_1	Human
ERR2779872_1	Other
ERR2779873_1	Other
ERR2779874_1	Hospitalised patient
ERR2779875_1	Hospitalised patient
ERR2779876_1	Other
ERR2779877_1	Other
ERR2779878_1	Hospitalised patient
ERR2779879_1	Non-hospitalised person
ERR2779880_1	Hospitalised patient
ERR2779881_1	Hospitalised patient
ERR2779882_1	Other
ERR2779883_1	Hospitalised patient
ERR2779884_1	Other
ERR2779885_1	Other
ERR2779886_1	Other
ERR2779887_1	Other
ERR2779888_1	Hospitalised patient
ERR2779889_1	Hospitalised patient
ERR2779890_1	Hospitalised patient
ERR2779891_1	Hospitalised patient
ERR2779892_1	Human
ERR2779893_1	Hospitalised patient
ERR2779894_1	Other
ERR2779895_1	Hospitalised patient
ERR2779896_1	Hospitalised patient
ERR2779897_1	Hospitalised patient
ERR2779898_1	Hospitalised patient
ERR2779899_1	Human
ERR2779900_1	Hospitalised patient
ERR2779901_1	Hospitalised patient
ERR2779902_1	Hospitalised patient
ERR2779903_1	Other
ERR2779904_1	Hospitalised patient
